Kod;Nazwa;Zakres_przedmiotowy;Rok;Wartosc;Jednostka_miary
0;POLSKA;wolne miejsca pracy;2015;71.6;tysiąc
0;POLSKA;wolne miejsca pracy;2016;89.3;tysiąc
0;POLSKA;wolne miejsca pracy;2017;122.5;tysiąc
0;POLSKA;wolne miejsca pracy;2018;153.4;tysiąc
0;POLSKA;wolne miejsca pracy;2019;142.1;tysiąc
0;POLSKA;wolne miejsca pracy;2020;83.4;tysiąc
0;POLSKA;wolne miejsca pracy;2021;136;tysiąc
0;POLSKA;wolne miejsca pracy;2022;139.8;tysiąc
0;POLSKA;wolne miejsca pracy;2023;109.1;tysiąc
0;POLSKA;wskaźnik wolnych miejsc pracy;2015;0.61;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2016;0.76;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2017;0.99;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2018;1.18;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2019;1.07;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2020;0.67;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2021;1.1;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2022;1.11;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2023;0.87;%
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2015;6.7;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2016;8.5;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2017;12.1;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2018;13.2;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2019;11.7;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2020;7.9;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2021;12.5;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2022;13.7;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2023;10;tysiąc
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2015;0.71;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2016;0.87;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2017;1.22;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2018;1.28;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2019;1.17;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2020;0.83;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2021;1.31;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2022;1.4;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2023;0.97;%
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2015;2.7;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2016;3;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2017;4.3;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2018;6.5;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2019;4.9;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2020;3.6;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2021;4.8;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2022;4.9;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2023;3.6;tysiąc
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2015;0.51;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2016;0.58;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2017;0.8;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2018;1.16;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2019;0.83;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2020;0.58;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2021;0.91;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2022;0.9;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2023;0.68;%
600000;LUBELSKIE;wolne miejsca pracy;2015;1.7;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2016;2.2;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2017;3.2;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2018;3.2;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2019;3.1;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2020;1.6;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2021;3;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2022;2.9;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2023;2.1;tysiąc
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2015;0.38;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2016;0.46;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2017;0.68;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2018;0.56;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2019;0.58;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2020;0.35;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2021;0.64;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2022;0.61;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2023;0.44;%
800000;LUBUSKIE;wolne miejsca pracy;2015;1.8;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2016;2.1;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2017;3.1;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2018;4.4;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2019;2.6;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2020;1.6;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2021;2.5;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2022;3.2;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2023;2.9;tysiąc
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2015;0.69;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2016;0.78;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2017;1.11;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2018;1.53;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2019;0.94;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2020;0.61;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2021;0.93;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2022;1.2;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2023;1.09;%
1000000;ŁÓDZKIE;wolne miejsca pracy;2015;3.8;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2016;5.8;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2017;7.5;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2018;7.9;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2019;8.8;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2020;6.2;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2021;7.7;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2022;6.6;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2023;6.4;tysiąc
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2015;0.51;%
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2016;0.8;%
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2017;0.97;%
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2018;1.02;%
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2019;1;%
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2020;0.8;%
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2021;1.03;%
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2022;0.87;%
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2023;0.88;%
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2015;6.6;tysiąc
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2016;7.6;tysiąc
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2017;11.1;tysiąc
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2018;15;tysiąc
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2019;15.3;tysiąc
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2020;7.7;tysiąc
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2021;16;tysiąc
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2022;13.5;tysiąc
1200000;MAŁOPOLSKIE;wolne miejsca pracy;2023;11.1;tysiąc
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2015;0.65;%
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2016;0.76;%
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2017;1.05;%
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2018;1.35;%
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2019;1.31;%
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2020;0.71;%
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2021;1.46;%
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2022;1.22;%
1200000;MAŁOPOLSKIE;wskaźnik wolnych miejsc pracy;2023;1;%
1400000;MAZOWIECKIE;wolne miejsca pracy;2015;17.7;tysiąc
1400000;MAZOWIECKIE;wolne miejsca pracy;2016;20.4;tysiąc
1400000;MAZOWIECKIE;wolne miejsca pracy;2017;27.4;tysiąc
1400000;MAZOWIECKIE;wolne miejsca pracy;2018;35.8;tysiąc
1400000;MAZOWIECKIE;wolne miejsca pracy;2019;35.4;tysiąc
1400000;MAZOWIECKIE;wolne miejsca pracy;2020;22;tysiąc
1400000;MAZOWIECKIE;wolne miejsca pracy;2021;32.1;tysiąc
1400000;MAZOWIECKIE;wolne miejsca pracy;2022;36.7;tysiąc
1400000;MAZOWIECKIE;wolne miejsca pracy;2023;29.1;tysiąc
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2015;0.73;%
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2016;0.83;%
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2017;1.05;%
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2018;1.29;%
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2019;1.28;%
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2020;0.83;%
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2021;1.22;%
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2022;1.36;%
1400000;MAZOWIECKIE;wskaźnik wolnych miejsc pracy;2023;1.05;%
1600000;OPOLSKIE;wolne miejsca pracy;2015;1.7;tysiąc
1600000;OPOLSKIE;wolne miejsca pracy;2016;2;tysiąc
1600000;OPOLSKIE;wolne miejsca pracy;2017;2.9;tysiąc
1600000;OPOLSKIE;wolne miejsca pracy;2018;2.4;tysiąc
1600000;OPOLSKIE;wolne miejsca pracy;2019;2.6;tysiąc
1600000;OPOLSKIE;wolne miejsca pracy;2020;1.3;tysiąc
1600000;OPOLSKIE;wolne miejsca pracy;2021;3.7;tysiąc
1600000;OPOLSKIE;wolne miejsca pracy;2022;2.7;tysiąc
1600000;OPOLSKIE;wolne miejsca pracy;2023;2.5;tysiąc
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2015;0.73;%
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2016;0.81;%
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2017;1.13;%
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2018;0.92;%
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2019;0.94;%
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2020;0.51;%
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2021;1.48;%
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2022;1.09;%
1600000;OPOLSKIE;wskaźnik wolnych miejsc pracy;2023;1.01;%
1800000;PODKARPACKIE;wolne miejsca pracy;2015;1;tysiąc
1800000;PODKARPACKIE;wolne miejsca pracy;2016;2.5;tysiąc
1800000;PODKARPACKIE;wolne miejsca pracy;2017;3.3;tysiąc
1800000;PODKARPACKIE;wolne miejsca pracy;2018;4.3;tysiąc
1800000;PODKARPACKIE;wolne miejsca pracy;2019;3;tysiąc
1800000;PODKARPACKIE;wolne miejsca pracy;2020;2;tysiąc
1800000;PODKARPACKIE;wolne miejsca pracy;2021;2.3;tysiąc
1800000;PODKARPACKIE;wolne miejsca pracy;2022;3.2;tysiąc
1800000;PODKARPACKIE;wolne miejsca pracy;2023;2.8;tysiąc
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2015;0.21;%
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2016;0.48;%
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2017;0.62;%
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2018;0.76;%
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2019;0.55;%
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2020;0.37;%
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2021;0.45;%
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2022;0.59;%
1800000;PODKARPACKIE;wskaźnik wolnych miejsc pracy;2023;0.53;%
2000000;PODLASKIE;wolne miejsca pracy;2015;1.1;tysiąc
2000000;PODLASKIE;wolne miejsca pracy;2016;1.2;tysiąc
2000000;PODLASKIE;wolne miejsca pracy;2017;1.7;tysiąc
2000000;PODLASKIE;wolne miejsca pracy;2018;2;tysiąc
2000000;PODLASKIE;wolne miejsca pracy;2019;2.3;tysiąc
2000000;PODLASKIE;wolne miejsca pracy;2020;1.1;tysiąc
2000000;PODLASKIE;wolne miejsca pracy;2021;1.9;tysiąc
2000000;PODLASKIE;wolne miejsca pracy;2022;2.3;tysiąc
2000000;PODLASKIE;wolne miejsca pracy;2023;2.1;tysiąc
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2015;0.47;%
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2016;0.46;%
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2017;0.68;%
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2018;0.77;%
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2019;0.87;%
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2020;0.4;%
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2021;0.74;%
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2022;0.82;%
2000000;PODLASKIE;wskaźnik wolnych miejsc pracy;2023;0.75;%
2200000;POMORSKIE;wolne miejsca pracy;2015;4.5;tysiąc
2200000;POMORSKIE;wolne miejsca pracy;2016;4.8;tysiąc
2200000;POMORSKIE;wolne miejsca pracy;2017;6.8;tysiąc
2200000;POMORSKIE;wolne miejsca pracy;2018;10.1;tysiąc
2200000;POMORSKIE;wolne miejsca pracy;2019;9.6;tysiąc
2200000;POMORSKIE;wolne miejsca pracy;2020;5;tysiąc
2200000;POMORSKIE;wolne miejsca pracy;2021;8.6;tysiąc
2200000;POMORSKIE;wolne miejsca pracy;2022;8.1;tysiąc
2200000;POMORSKIE;wolne miejsca pracy;2023;6.5;tysiąc
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2015;0.66;%
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2016;0.7;%
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2017;0.97;%
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2018;1.37;%
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2019;1.25;%
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2020;0.7;%
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2021;1.2;%
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2022;1.12;%
2200000;POMORSKIE;wskaźnik wolnych miejsc pracy;2023;0.9;%
2400000;ŚLĄSKIE;wolne miejsca pracy;2015;8;tysiąc
2400000;ŚLĄSKIE;wolne miejsca pracy;2016;10.7;tysiąc
2400000;ŚLĄSKIE;wolne miejsca pracy;2017;15.1;tysiąc
2400000;ŚLĄSKIE;wolne miejsca pracy;2018;20.2;tysiąc
2400000;ŚLĄSKIE;wolne miejsca pracy;2019;18.7;tysiąc
2400000;ŚLĄSKIE;wolne miejsca pracy;2020;9;tysiąc
2400000;ŚLĄSKIE;wolne miejsca pracy;2021;17.5;tysiąc
2400000;ŚLĄSKIE;wolne miejsca pracy;2022;14.8;tysiąc
2400000;ŚLĄSKIE;wolne miejsca pracy;2023;11.9;tysiąc
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2015;0.55;%
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2016;0.74;%
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2017;0.99;%
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2018;1.29;%
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2019;1.18;%
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2020;0.61;%
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2021;1.21;%
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2022;1.01;%
2400000;ŚLĄSKIE;wskaźnik wolnych miejsc pracy;2023;0.82;%
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2015;1.3;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2016;1.5;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2017;3.1;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2018;2.6;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2019;2.8;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2020;1.5;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2021;2.1;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2022;2;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wolne miejsca pracy;2023;1.6;tysiąc
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2015;0.45;%
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2016;0.51;%
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2017;1.05;%
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2018;0.83;%
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2019;0.87;%
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2020;0.54;%
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2021;0.73;%
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2022;0.66;%
2600000;ŚWIĘTOKRZYSKIE;wskaźnik wolnych miejsc pracy;2023;0.57;%
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2015;1.5;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2016;2.1;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2017;2.3;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2018;3;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2019;3.4;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2020;1.4;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2021;2.5;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2022;2.7;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wolne miejsca pracy;2023;2.1;tysiąc
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2015;0.47;%
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2016;0.68;%
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2017;0.72;%
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2018;0.87;%
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2019;0.87;%
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2020;0.39;%
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2021;0.75;%
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2022;0.76;%
2800000;WARMIŃSKO-MAZURSKIE;wskaźnik wolnych miejsc pracy;2023;0.69;%
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2015;7.8;tysiąc
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2016;9.9;tysiąc
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2017;13.7;tysiąc
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2018;16.2;tysiąc
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2019;12.8;tysiąc
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2020;7.1;tysiąc
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2021;13;tysiąc
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2022;14.9;tysiąc
3000000;WIELKOPOLSKIE;wolne miejsca pracy;2023;9.4;tysiąc
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2015;0.63;%
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2016;0.78;%
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2017;1.02;%
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2018;1.15;%
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2019;0.89;%
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2020;0.51;%
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2021;0.93;%
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2022;1.01;%
3000000;WIELKOPOLSKIE;wskaźnik wolnych miejsc pracy;2023;0.66;%
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2015;3.7;tysiąc
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2016;5.1;tysiąc
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2017;4.7;tysiąc
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2018;6.6;tysiąc
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2019;5.2;tysiąc
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2020;4.5;tysiąc
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2021;5.7;tysiąc
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2022;7.6;tysiąc
3200000;ZACHODNIOPOMORSKIE;wolne miejsca pracy;2023;5;tysiąc
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2015;0.92;%
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2016;1.22;%
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2017;1.1;%
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2018;1.45;%
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2019;1.11;%
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2020;1.07;%
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2021;1.39;%
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2022;1.76;%
3200000;ZACHODNIOPOMORSKIE;wskaźnik wolnych miejsc pracy;2023;1.17;%
